player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29.0,29.0,2507.0,3.0,2.0,1.0,1.0,0.0,0.0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.1,0.08,0.11,0.2,0.06,0.17,27.9,26.0,5.0,3.0,19.2,0.93,0.18,0.08,0.4,0.06,0.6,0.4,1227.0,1558.0,78.8,21238.0,9268.0,16.0,56.0,28.6,1018.0,1172.0,86.9,193.0,330.0,58.5,-1.1,32.0,85.0,25.0,5.0,216.0,1175.0,383.0,62.0,0.0,222.0,35.0,88.0,45.0,23.0,15.0,3.0,930.0,322.0,306.0,997.0,256.0,21.0,275.0,3.0,8.0,14.0,36.0,47.0,62.0,2.23,32.0,23.0,3.0,2.0,2.0,5.0,0.18,3.0,1.0,1.0,0.0,0.0,0.0,51.0,32.0,33.0,16.0,2.0,22.0,54.0,40.7,32.0,267.0,74.0,27.7,159.0,71.0,37.0,57.0,13.0,1.0,44.0,46.0,67.0,3.0,1839.0,95.0,529.0,883.0,532.0,51.0,1458.0,18.0,36.0,50.0,18.0,2.0,1000.0,5651.0,3130.0,1079.0,994.0,92.1,21.0,16.0,0.0,9.0,8.0,2.0,0.0,0.0,1.0,243.0,12.0,17.0,41.4
Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,36.0,3240.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,3.4,0.01,0.09,0.11,0.01,0.11,36.0,14.0,4.0,0.0,28.6,0.39,0.11,0.0,0.0,0.03,-0.5,-0.5,1316.0,1684.0,78.1,20283.0,6833.0,32.0,96.0,33.3,1135.0,1315.0,86.3,149.0,273.0,54.6,-2.4,24.0,44.0,32.0,13.0,123.0,1356.0,328.0,27.0,1.0,291.0,10.0,72.0,0.0,0.0,0.0,0.0,1018.0,391.0,275.0,219.0,1102.0,45.0,301.0,2.0,0.0,33.0,22.0,70.0,54.0,1.5,42.0,2.0,3.0,3.0,4.0,3.0,0.08,1.0,1.0,0.0,0.0,1.0,0.0,64.0,36.0,40.0,17.0,7.0,21.0,45.0,46.7,24.0,485.0,132.0,27.2,281.0,142.0,62.0,100.0,30.0,2.0,70.0,35.0,86.0,0.0,2133.0,178.0,803.0,903.0,594.0,52.0,1821.0,49.0,94.0,52.1,55.0,2.0,1321.0,9483.0,5431.0,1399.0,1244.0,88.9,39.0,48.0,0.0,29.0,49.0,3.0,1.0,0.0,0.0,281.0,23.0,42.0,35.4
Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34.0,25.0,2215.0,15.0,3.0,0.0,0.0,2.0,0.0,0.61,0.12,0.73,0.61,0.73,14.6,14.6,2.6,0.59,0.1,0.7,0.59,0.7,24.6,88.0,35.0,0.0,39.8,3.58,1.42,0.17,0.43,0.17,0.4,0.4,288.0,412.0,69.9,4211.0,813.0,26.0,54.0,48.1,223.0,305.0,73.1,39.0,53.0,73.6,0.4,18.0,16.0,5.0,0.0,32.0,360.0,52.0,0.0,0.0,149.0,5.0,10.0,0.0,0.0,0.0,0.0,259.0,81.0,72.0,31.0,306.0,17.0,0.0,17.0,1.0,6.0,8.0,26.0,47.0,1.91,33.0,0.0,6.0,6.0,2.0,10.0,0.41,4.0,0.0,3.0,2.0,1.0,0.0,14.0,10.0,4.0,5.0,5.0,4.0,16.0,25.0,12.0,430.0,130.0,30.2,19.0,169.0,242.0,23.0,5.0,0.0,18.0,5.0,26.0,0.0,739.0,31.0,59.0,354.0,352.0,165.0,688.0,21.0,36.0,58.3,22.0,0.0,427.0,2315.0,1159.0,1076.0,495.0,46.0,71.0,47.0,0.0,17.0,24.0,23.0,1.0,0.0,1.0,95.0,67.0,111.0,37.6
Che Adams,eng ENG,FW,Southampton,23,1996,30.0,12.0,1111.0,4.0,2.0,0.0,0.0,0.0,0.0,0.32,0.16,0.49,0.32,0.49,4.2,4.2,1.3,0.34,0.1,0.44,0.34,0.44,12.3,37.0,9.0,0.0,24.3,3.0,0.73,0.11,0.44,0.11,-0.2,-0.2,184.0,265.0,69.4,2932.0,632.0,10.0,26.0,38.5,150.0,196.0,76.5,24.0,43.0,55.8,0.7,11.0,12.0,3.0,0.0,21.0,257.0,8.0,0.0,3.0,73.0,8.0,14.0,0.0,0.0,0.0,0.0,160.0,67.0,38.0,18.0,211.0,11.0,0.0,5.0,1.0,9.0,8.0,20.0,24.0,1.94,15.0,0.0,3.0,2.0,4.0,5.0,0.41,2.0,0.0,1.0,0.0,2.0,0.0,8.0,6.0,2.0,4.0,2.0,0.0,5.0,0.0,5.0,231.0,58.0,25.1,9.0,97.0,125.0,10.0,1.0,0.0,9.0,2.0,10.0,0.0,441.0,10.0,35.0,203.0,235.0,68.0,433.0,15.0,27.0,55.6,15.0,1.0,308.0,1837.0,841.0,657.0,315.0,47.9,44.0,29.0,0.0,17.0,16.0,10.0,1.0,0.0,0.0,73.0,29.0,86.0,25.2
Adrián,es ESP,GK,Liverpool,32,1987,11.0,9.0,875.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,314.0,72.3,6825.0,3820.0,2.0,4.0,50.0,107.0,108.0,99.1,118.0,202.0,58.4,0.0,0.0,3.0,0.0,0.0,0.0,219.0,95.0,27.0,0.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,150.0,24.0,140.0,31.0,217.0,1.0,0.0,49.0,0.0,9.0,0.0,1.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,338.0,300.0,338.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,163.0,638.0,356.0,155.0,154.0,99.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24.0,18.0,1452.0,16.0,3.0,2.0,3.0,1.0,0.0,0.99,0.19,1.18,0.87,1.05,13.8,11.5,2.4,0.85,0.15,1.0,0.71,0.86,16.1,73.0,25.0,0.0,34.2,4.52,1.55,0.19,0.56,0.16,2.2,2.5,284.0,367.0,77.4,3736.0,781.0,17.0,38.0,44.7,249.0,306.0,81.4,18.0,23.0,78.3,0.6,16.0,12.0,20.0,0.0,33.0,349.0,18.0,1.0,5.0,90.0,1.0,10.0,0.0,0.0,0.0,0.0,273.0,71.0,23.0,41.0,303.0,11.0,1.0,9.0,0.0,4.0,11.0,15.0,51.0,3.16,28.0,0.0,9.0,9.0,5.0,8.0,0.5,4.0,0.0,1.0,2.0,1.0,0.0,7.0,5.0,0.0,4.0,3.0,1.0,6.0,16.7,5.0,222.0,56.0,25.2,13.0,74.0,135.0,15.0,2.0,0.0,13.0,3.0,3.0,0.0,572.0,2.0,21.0,207.0,386.0,154.0,551.0,27.0,45.0,60.0,28.0,2.0,428.0,2539.0,1396.0,780.0,450.0,57.7,24.0,41.0,0.0,9.0,9.0,6.0,2.0,0.0,0.0,61.0,2.0,14.0,12.5
Albian Ajeti,ch SUI,"MF,FW",West Ham,22,1997,9.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,1.5,3.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.04,-0.1,-0.1,15.0,18.0,83.3,152.0,8.0,1.0,1.0,100.0,14.0,17.0,82.4,0.0,0.0,0.0,-0.1,2.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,4.8,3.0,6.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,1.0,9.0,24.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,16.0,75.0,16.0,64.0,24.0,37.5,5.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,9.0,10.0
Nathan Aké,nl NED,DF,Bournemouth,24,1995,29.0,29.0,2503.0,2.0,2.0,0.0,0.0,2.0,0.0,0.07,0.07,0.14,0.07,0.14,2.5,2.5,0.5,0.09,0.02,0.11,0.09,0.11,27.8,24.0,7.0,0.0,29.2,0.86,0.25,0.08,0.29,0.1,-0.5,-0.5,1042.0,1183.0,88.1,21680.0,7019.0,9.0,20.0,45.0,725.0,787.0,92.1,308.0,376.0,81.9,1.5,4.0,67.0,10.0,0.0,61.0,1130.0,53.0,33.0,1.0,150.0,15.0,4.0,0.0,0.0,0.0,0.0,852.0,134.0,197.0,840.0,209.0,92.0,20.0,1.0,2.0,11.0,5.0,13.0,13.0,0.47,7.0,0.0,1.0,4.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,25.0,11.0,20.0,5.0,0.0,7.0,24.0,29.2,17.0,222.0,66.0,29.7,146.0,66.0,10.0,59.0,30.0,0.0,29.0,33.0,176.0,1.0,1508.0,278.0,920.0,596.0,86.0,34.0,1455.0,5.0,5.0,100.0,5.0,0.0,845.0,5266.0,2910.0,948.0,900.0,94.9,7.0,5.0,0.0,9.0,13.0,3.0,0.0,0.0,0.0,247.0,64.0,58.0,52.5
Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,20.0,9.0,867.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.31,0.31,0.0,0.31,0.6,0.6,1.9,0.06,0.19,0.26,0.06,0.26,9.6,10.0,2.0,0.0,20.0,1.04,0.21,0.0,0.0,0.06,-0.6,-0.6,344.0,508.0,67.7,6187.0,2445.0,6.0,32.0,18.8,271.0,330.0,82.1,67.0,146.0,45.9,1.1,18.0,31.0,20.0,9.0,65.0,473.0,35.0,0.0,1.0,81.0,25.0,68.0,10.0,2.0,6.0,0.0,292.0,82.0,134.0,51.0,411.0,17.0,25.0,3.0,0.0,14.0,9.0,30.0,26.0,2.7,22.0,2.0,1.0,1.0,0.0,5.0,0.52,5.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,11.0,11.0,1.0,7.0,29.0,24.1,22.0,192.0,66.0,34.4,46.0,95.0,51.0,18.0,1.0,0.0,17.0,8.0,6.0,0.0,622.0,13.0,111.0,258.0,295.0,23.0,587.0,10.0,29.0,34.5,13.0,2.0,420.0,2558.0,1176.0,495.0,429.0,86.7,9.0,12.0,0.0,8.0,11.0,1.0,0.0,1.0,0.0,90.0,2.0,5.0,28.6
Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33.0,33.0,2957.0,2.0,2.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.1,0.03,0.03,0.07,0.03,0.07,32.9,16.0,5.0,0.0,31.3,0.49,0.15,0.13,0.4,0.07,0.9,0.9,1567.0,1895.0,82.7,37306.0,9753.0,10.0,26.0,38.5,968.0,1040.0,93.1,589.0,829.0,71.0,0.9,11.0,131.0,17.0,1.0,89.0,1814.0,81.0,72.0,6.0,205.0,65.0,8.0,0.0,0.0,0.0,0.0,1238.0,190.0,467.0,340.0,1402.0,101.0,9.0,7.0,10.0,39.0,9.0,12.0,19.0,0.58,18.0,0.0,0.0,1.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,24.0,17.0,3.0,14.0,36.0,38.9,22.0,258.0,83.0,32.2,169.0,79.0,10.0,69.0,34.0,1.0,35.0,26.0,229.0,3.0,2265.0,353.0,1224.0,1038.0,114.0,22.0,2185.0,0.0,2.0,0.0,0.0,0.0,1362.0,6528.0,3056.0,1535.0,1500.0,97.7,3.0,2.0,0.0,18.0,4.0,1.0,0.0,0.0,1.0,322.0,76.0,54.0,58.5
Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38.0,35.0,3175.0,4.0,13.0,0.0,0.0,5.0,0.0,0.11,0.37,0.48,0.11,0.48,2.9,2.9,9.7,0.08,0.27,0.36,0.08,0.36,35.3,44.0,13.0,12.0,29.5,1.25,0.37,0.09,0.31,0.07,1.1,1.1,2254.0,3147.0,71.6,49809.0,19995.0,33.0,120.0,27.5,1558.0,1821.0,85.6,663.0,1206.0,55.0,3.3,85.0,202.0,90.0,30.0,459.0,2495.0,652.0,86.0,8.0,413.0,226.0,377.0,162.0,43.0,74.0,8.0,1472.0,567.0,1108.0,313.0,2330.0,83.0,404.0,7.0,11.0,84.0,35.0,111.0,151.0,4.28,91.0,50.0,3.0,5.0,1.0,24.0,0.68,14.0,7.0,0.0,2.0,0.0,1.0,58.0,25.0,37.0,15.0,6.0,34.0,85.0,40.0,51.0,409.0,131.0,32.0,193.0,123.0,93.0,53.0,9.0,0.0,44.0,46.0,98.0,2.0,3520.0,105.0,848.0,1641.0,1246.0,63.0,2865.0,26.0,56.0,46.4,30.0,4.0,2108.0,9335.0,5698.0,2363.0,2230.0,94.4,36.0,22.0,0.0,22.0,9.0,3.0,0.0,0.0,0.0,352.0,14.0,32.0,30.4
Alisson,br BRA,GK,Liverpool,26,1992,29.0,29.0,2543.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.4,0.0,0.02,0.02,0.0,0.02,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,925.0,85.8,22277.0,12306.0,2.0,2.0,100.0,407.0,410.0,99.3,385.0,513.0,75.0,0.6,2.0,7.0,1.0,0.0,1.0,701.0,224.0,54.0,1.0,131.0,28.0,0.0,0.0,0.0,0.0,0.0,590.0,85.0,250.0,65.0,688.0,2.0,0.0,132.0,2.0,19.0,3.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,984.0,804.0,976.0,9.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,549.0,2115.0,1090.0,494.0,490.0,99.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0
Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,25.0,21.0,1847.0,8.0,4.0,1.0,1.0,2.0,0.0,0.39,0.19,0.58,0.34,0.54,6.9,6.1,2.0,0.34,0.1,0.43,0.3,0.39,20.5,39.0,18.0,0.0,46.2,1.9,0.88,0.18,0.39,0.16,1.1,0.9,621.0,805.0,77.1,10289.0,2384.0,15.0,59.0,25.4,496.0,584.0,84.9,110.0,162.0,67.9,2.0,22.0,41.0,24.0,0.0,67.0,747.0,58.0,9.0,6.0,195.0,8.0,7.0,4.0,0.0,0.0,1.0,587.0,139.0,79.0,33.0,702.0,30.0,17.0,8.0,6.0,8.0,16.0,37.0,53.0,2.58,39.0,1.0,9.0,2.0,2.0,12.0,0.58,5.0,0.0,5.0,2.0,0.0,0.0,41.0,29.0,10.0,24.0,7.0,8.0,32.0,25.0,24.0,479.0,135.0,28.2,108.0,234.0,137.0,53.0,7.0,0.0,46.0,14.0,17.0,0.0,1132.0,37.0,171.0,575.0,471.0,96.0,1076.0,32.0,63.0,50.8,36.0,7.0,747.0,4583.0,2502.0,1102.0,773.0,70.1,45.0,56.0,0.0,12.0,33.0,6.0,0.0,0.0,0.0,157.0,17.0,32.0,34.7
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,36.0,35.0,3021.0,4.0,2.0,0.0,0.0,5.0,0.0,0.12,0.06,0.18,0.12,0.18,6.4,6.4,1.4,0.19,0.04,0.23,0.19,0.23,33.6,55.0,17.0,0.0,30.9,1.64,0.51,0.07,0.24,0.12,-2.4,-2.4,682.0,894.0,76.3,10800.0,2575.0,22.0,64.0,34.4,563.0,663.0,84.9,97.0,167.0,58.1,0.6,27.0,40.0,24.0,4.0,73.0,881.0,13.0,2.0,2.0,207.0,22.0,42.0,1.0,0.0,1.0,0.0,635.0,145.0,114.0,777.0,67.0,29.0,8.0,8.0,3.0,16.0,31.0,40.0,77.0,2.29,58.0,0.0,7.0,5.0,7.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,62.0,36.0,34.0,17.0,11.0,13.0,46.0,28.3,33.0,732.0,175.0,23.9,236.0,278.0,218.0,44.0,1.0,0.0,43.0,30.0,16.0,0.0,1309.0,44.0,314.0,553.0,602.0,90.0,1297.0,46.0,93.0,49.5,54.0,5.0,975.0,9236.0,5220.0,1281.0,894.0,69.8,60.0,54.0,0.0,30.0,58.0,24.0,0.0,0.0,0.0,228.0,9.0,37.0,19.6
Marcos Alonso,es ESP,DF,Chelsea,28,1990,18.0,15.0,1430.0,4.0,2.0,0.0,0.0,4.0,0.0,0.25,0.13,0.38,0.25,0.38,2.0,2.0,2.0,0.13,0.13,0.26,0.13,0.26,15.9,30.0,8.0,1.0,26.7,1.89,0.5,0.13,0.5,0.07,2.0,2.0,916.0,1108.0,82.7,16216.0,4961.0,12.0,38.0,31.6,756.0,850.0,88.9,148.0,220.0,67.3,0.0,26.0,34.0,29.0,14.0,115.0,941.0,167.0,8.0,0.0,228.0,21.0,67.0,1.0,1.0,0.0,0.0,674.0,231.0,203.0,788.0,93.0,44.0,158.0,0.0,1.0,15.0,11.0,30.0,47.0,2.96,36.0,5.0,1.0,2.0,3.0,6.0,0.38,4.0,0.0,0.0,0.0,2.0,0.0,27.0,19.0,17.0,6.0,4.0,5.0,28.0,17.9,23.0,215.0,88.0,40.9,89.0,84.0,42.0,30.0,1.0,0.0,29.0,20.0,48.0,0.0,1313.0,30.0,326.0,563.0,511.0,72.0,1146.0,12.0,19.0,63.2,12.0,0.0,841.0,4760.0,2735.0,928.0,829.0,89.3,20.0,22.0,0.0,16.0,15.0,2.0,1.0,0.0,0.0,183.0,42.0,31.0,57.5
Steven Alzate,co COL,"MF,DF",Brighton,20,1998,19.0,12.0,1188.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,0.09,0.05,0.15,0.09,0.15,13.2,13.0,3.0,0.0,23.1,0.98,0.23,0.0,0.0,0.09,-1.2,-1.2,564.0,664.0,84.9,8969.0,2604.0,11.0,28.0,39.3,492.0,553.0,89.0,61.0,83.0,73.5,-0.7,13.0,33.0,16.0,2.0,64.0,609.0,55.0,5.0,1.0,135.0,9.0,9.0,0.0,0.0,0.0,0.0,471.0,133.0,60.0,30.0,540.0,33.0,50.0,1.0,1.0,5.0,15.0,16.0,30.0,2.27,22.0,0.0,5.0,2.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,28.0,23.0,23.0,3.0,2.0,10.0,22.0,45.5,12.0,235.0,77.0,32.8,99.0,94.0,42.0,26.0,3.0,0.0,23.0,13.0,14.0,0.0,838.0,31.0,215.0,406.0,272.0,44.0,787.0,33.0,50.0,66.0,35.0,4.0,618.0,3821.0,2140.0,638.0,557.0,87.3,20.0,28.0,0.0,17.0,18.0,3.0,0.0,0.0,0.0,137.0,14.0,11.0,56.0
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,11.0,8.0,759.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,8.4,6.0,1.0,0.0,16.7,0.71,0.12,0.0,0.0,0.16,-1.0,-1.0,310.0,361.0,85.9,6360.0,1790.0,2.0,6.0,33.3,219.0,244.0,89.8,89.0,111.0,80.2,0.0,1.0,14.0,1.0,0.0,11.0,354.0,7.0,4.0,0.0,68.0,5.0,1.0,0.0,0.0,0.0,0.0,285.0,35.0,41.0,23.0,314.0,17.0,2.0,1.0,1.0,4.0,7.0,5.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,12.0,8.0,1.0,3.0,11.0,27.3,8.0,107.0,26.0,24.3,64.0,40.0,3.0,8.0,6.0,0.0,2.0,17.0,58.0,1.0,470.0,107.0,329.0,143.0,14.0,4.0,464.0,2.0,3.0,66.7,2.0,0.0,253.0,1003.0,474.0,297.0,289.0,97.3,1.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,75.0,15.0,14.0,51.7
Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,25.0,20.0,1497.0,1.0,4.0,0.0,0.0,1.0,0.0,0.06,0.24,0.3,0.06,0.3,2.5,2.5,2.9,0.15,0.18,0.32,0.15,0.32,16.6,23.0,8.0,0.0,34.8,1.38,0.48,0.04,0.13,0.11,-1.5,-1.5,725.0,934.0,77.6,12045.0,3503.0,21.0,63.0,33.3,596.0,720.0,82.8,108.0,151.0,71.5,1.1,26.0,48.0,33.0,6.0,94.0,903.0,31.0,9.0,3.0,188.0,23.0,36.0,5.0,3.0,1.0,0.0,635.0,174.0,125.0,124.0,750.0,31.0,12.0,13.0,3.0,14.0,28.0,40.0,57.0,3.43,44.0,2.0,5.0,3.0,3.0,8.0,0.48,7.0,0.0,1.0,0.0,0.0,0.0,45.0,30.0,20.0,18.0,7.0,11.0,48.0,22.9,37.0,370.0,104.0,28.1,92.0,189.0,89.0,21.0,1.0,0.0,20.0,21.0,14.0,0.0,1163.0,26.0,166.0,616.0,517.0,68.0,1138.0,66.0,97.0,68.0,70.0,5.0,932.0,7366.0,4575.0,1042.0,889.0,85.3,33.0,35.0,0.0,17.0,23.0,2.0,0.0,0.0,0.0,135.0,4.0,24.0,14.3
Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,3.0,1.0,73.0,1.0,0.0,0.0,0.0,0.0,1.0,1.23,0.0,1.23,1.23,1.23,0.1,0.1,0.0,0.14,0.06,0.2,0.14,0.2,0.8,1.0,1.0,0.0,100.0,1.23,1.23,1.0,1.0,0.12,0.9,0.9,8.0,12.0,66.7,77.0,20.0,0.0,1.0,0.0,8.0,11.0,72.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,3.0,4.0,12.0,16.0,7.0,28.0,2.0,4.0,50.0,2.0,0.0,17.0,218.0,151.0,33.0,16.0,48.5,5.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0
Angeliño,es ESP,DF,Manchester City,22,1997,6.0,4.0,423.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.05,0.26,0.31,0.05,0.31,4.7,5.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.05,-0.2,-0.2,335.0,426.0,78.6,6057.0,1706.0,4.0,14.0,28.6,266.0,304.0,87.5,65.0,108.0,60.2,-1.2,9.0,33.0,14.0,7.0,47.0,377.0,49.0,3.0,0.0,70.0,7.0,42.0,0.0,0.0,0.0,0.0,267.0,78.0,81.0,342.0,15.0,18.0,46.0,1.0,1.0,9.0,5.0,14.0,14.0,2.98,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,3.0,1.0,5.0,6.0,83.3,1.0,47.0,18.0,38.3,14.0,25.0,8.0,4.0,0.0,0.0,4.0,9.0,18.0,0.0,477.0,16.0,98.0,199.0,214.0,10.0,429.0,5.0,8.0,62.5,5.0,2.0,321.0,1545.0,942.0,361.0,343.0,95.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,49.0,8.0,8.0,50.0
